types,sub_pos,Group,exp,porr,sum_force
Ad(Ac),0.02642091,6,8,pitch,0.55538297
Ad(Ac),0.021450082,6,9,pitch,0.65060836
Ad(Ac),0.016103616,6,10,pitch,0.33936536
Ad(Ac),0.02585423,6,11,pitch,0.41269565
Ad(Ac),0.028665913,6,12,pitch,0.6127701
Ad(Ac),0.073776275,6,13,pitch,0.84243166
Ad(Ac),0.035684492,6,14,pitch,0.40383366
Ad(Ac),0.02057042,6,15,pitch,0.6763202
Ad(Ac),0.03622671,6,16,pitch,0.38566804
Ad(Ac),0.03897399,6,17,pitch,0.7605362
Ad(Ac),0.016571943,6,18,pitch,0.34427688
Ad(Ac),0.009146793,6,19,pitch,0.3343593
Ad(Ac),0.017531,6,20,pitch,0.32055283
Bi,0.0039539663,6,1,pitch,0.07659706
Bi,0.0046869423,6,2,pitch,0.09782487
Bi,0.012802992,6,3,pitch,0.24966446
Bi,0.035360903,6,4,pitch,0.30321243
Bi,0.007229567,6,5,pitch,0.119881764
Bi,0.0036509845,6,6,pitch,0.08096713
Bi,0.009052489,6,7,pitch,0.22485363
Bi,0.006300604,6,8,pitch,0.20002356
Bi,0.008944007,6,9,pitch,0.29861128
Bi,0.00822595,6,10,pitch,0.15998468
Bi,0.08659077,6,11,pitch,0.32972452
Bi,0.008260519,6,12,pitch,0.22386618
Bi,0.017705496,6,13,pitch,0.31540465
Bi,0.013642525,6,14,pitch,0.29046234
Bi,0.008648446,6,15,pitch,0.2230171
Bi,0.017866526,6,16,pitch,0.31265774
Bi,0.018475113,6,17,pitch,0.28521645
Bi,0.005910903,6,18,pitch,0.09199076
Bi,0.0059112255,6,19,pitch,0.11771664
Bi,0.00472876,6,20,pitch,0.16618112
PP,0.009965007,1,1,roll,1.6494877
PP,0.021133052,1,2,roll,1.8814757
PP,0.013941144,1,3,roll,1.5196084
PP,0.013898033,1,4,roll,1.9687346
PP,0.011723665,1,5,roll,1.073532
PP,0.016251028,1,6,roll,1.1032265
PP,0.019775972,1,7,roll,1.6665884
PP,0.00865112,1,8,roll,0.5923107
PP,0.010514861,1,9,roll,0.30774298
PP,0.009967266,1,10,roll,1.2095094
PP,0.012632225,1,11,roll,1.2665147
PP,0.0055911154,1,12,roll,1.138891
PP,0.008141022,1,13,roll,1.4906492
PP,0.00782626,1,14,roll,1.0523437
PP,0.011414168,1,15,roll,1.0422844
PP,0.015358828,1,16,roll,1.3141093
PP,0.006148361,1,17,roll,0.8359592
PP,0.010732448,1,18,roll,1.4843026
PP,0.0116341,1,19,roll,1.4606229
PP,0.010253685,1,20,roll,0.7126002
Ad(PD),0.1037297,1,1,roll,1.8883619
Ad(PD),0.09116543,1,2,roll,3.2568836
Ad(PD),0.13725638,1,3,roll,3.2624865
Ad(PD),0.07214376,1,4,roll,3.2810636
Ad(PD),0.09266006,1,5,roll,3.5732834
Ad(PD),0.12956001,1,6,roll,3.184848
Ad(PD),0.14684707,1,7,roll,2.940586
Ad(PD),0.063357785,1,8,roll,3.3204415
Ad(PD),0.057175677,1,9,roll,3.4371479
Ad(PD),0.061531276,1,10,roll,3.6315293
Ad(PD),0.115996204,1,11,roll,3.4083447
Ad(PD),0.11899988,1,12,roll,3.6870885
Ad(PD),0.14151841,1,13,roll,3.1683471
Ad(PD),0.1752816,1,14,roll,3.268738
Ad(PD),0.083995685,1,15,roll,3.4897895
Ad(PD),0.057788696,1,16,roll,3.0053115
Ad(PD),0.108380646,1,17,roll,3.2841268
Ad(PD),0.107534714,1,18,roll,2.779641
Ad(PD),0.094258465,1,19,roll,3.1006544
Ad(PD),0.08629426,1,20,roll,3.5192845
Ad(Ac),0.0123782065,1,1,roll,0.80724704
Ad(Ac),0.012845546,1,2,roll,0.57852775
Ad(Ac),0.011283772,1,3,roll,0.41347256
Ad(Ac),0.01410053,1,4,roll,0.49427977
Ad(Ac),0.0073109833,1,5,roll,0.15761892
Ad(Ac),0.010015643,1,6,roll,0.50497943
Ad(Ac),0.012047735,1,7,roll,0.43477103
Ad(Ac),0.013113883,1,8,roll,0.45255992
Ad(Ac),0.0056791757,1,9,roll,0.32401857
Ad(Ac),0.007319659,1,10,roll,0.36293936
Ad(Ac),0.01092973,1,11,roll,0.5021111
Ad(Ac),0.0064257924,1,12,roll,0.4040605
Ad(Ac),0.009774017,1,13,roll,0.6461537
Ad(Ac),0.006938808,1,14,roll,0.3774333
Ad(Ac),0.008161493,1,15,roll,0.42795292
Ad(Ac),0.009024073,1,16,roll,0.51286197
Ad(Ac),0.005802115,1,17,roll,0.34190297
Ad(Ac),0.014958817,1,18,roll,0.52382374
Ad(Ac),0.006207434,1,19,roll,0.2706588
Ad(Ac),0.0072717103,1,20,roll,0.26765388
Bi,0.0062566805,1,1,roll,0.44859695
Bi,0.006811952,1,2,roll,0.33313277
